Set ID,Standard ID,Standard Description,Content Kind,Content Title,Content URL
CCSS.Math,K,Kindergarten,,,
CCSS.Math,K.CC.A.1,Count to 100 by ones and by tens.,Exercise,Count tens,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/e/counting-tens
CCSS.Math,K.CC.A.1,Count to 100 by ones and by tens.,,,
CCSS.Math,K.CC.A.1,Count to 100 by ones and by tens.,Exercise,Numbers to 100,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/e/count-to-100
CCSS.Math,K.CC.A.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,Exercise,Missing numbers,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/e/count-from-any-number
CCSS.Math,K.CC.A.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,,
CCSS.Math,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,Video,Counting in order,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/v/counting-in-order
CCSS.Math,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,Exercise,Find 1 more or 1 less than a number,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/e/one-more--one-less
CCSS.Math,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,Exercise,Count in order,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/e/counting-objects
CCSS.Math,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,Exercise,Count in pictures,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/e/counting-in-scenes
CCSS.Math,K.CC.B.4.a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",Video,Counting in order,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/v/counting-in-order
CCSS.Math,K.CC.B.4.a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",Exercise,Count in order,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/e/counting-objects
